Time (s),N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,N21,N22,N23,N24,N25,N26,N27,N28,N29,N30,N31,N32
24,25,74.8573392185599,52.8547360440546,31.7614685072227,30.0970786222358,30.024768468202,30.0186524123196,30.0149526774921,30.0115918568574,30.0083737856527,30.004610049125,29.9991705160825,29.9915333557467,29.982189443535,29.9716815941022,29.9601668165098,29.9475835596713,29.9337907969181,29.9186109401087,29.9018383959008,29.883233478921,29.86253011463,29.8394173274931,29.8135393841318,29.7844874632252,29.7517934245602,29.7149178640113,29.673243399043,29.6260581479502,29.5728051284831,29.4973068397305,29.4973068397305
25,25,74.9191928127071,55.3241074272195,32.1297947093809,30.1207380094764,30.0322900121118,30.0257104856812,30.022184518135,30.0190987327859,30.0162839398088,30.0130980367816,30.0084416590812,30.0017690420101,29.9935419620169,29.9843171504435,29.9742751797323,29.9633809910225,29.9515250259099,29.9385659765048,29.9243407925203,29.908657545745,29.8913056004118,29.8720376054362,29.8505708252025,29.8265801597606,29.7996937281659,29.7694828394798,29.7354568348736,29.6970507629975,29.6539259191155,29.5914917861147,29.5914917861147
26,25,74.8934538410234,57.793360282763,32.5790375744838,30.1468766057566,30.0387015210431,30.0314842570695,30.0280859951691,30.0252160923291,30.022720113519,30.0199926037001,30.015961599386,30.0100603652159,30.0027228147887,29.9945179413413,29.9856464827295,29.9760946550907,29.9657779245894,29.9545838116219,29.9423830805403,29.9290217855039,29.9143333041179,29.8981208360905,29.8801597286565,29.8601915138055,29.8379203747163,29.8130061019201,29.7850584395615,29.7536288334568,29.7185520278201,29.6665186443955,29.6665186443955
27,25,74.7943904089963,60.2293860545357,33.1274653473839,30.176581533175,30.0442653531604,30.0362102402961,30.0329009822744,30.0301998900013,30.0279557015948,30.0255917641743,30.0220606545008,30.0167773360373,30.0101487557849,30.0027547517467,29.9948135912825,29.9863286201453,29.977235206436,29.9674437716859,29.9568519939618,29.9453360795809,29.9327643974677,29.9189803666444,29.9038054271321,29.8870339921314,29.8684310677511,29.8477262748152,29.8246093862042,29.7987239977676,29.7700424370179,29.7262944792732,29.7262944792732
28,25,74.6340112991195,62.6092865454476,33.7850023486323,30.2110391390717,30.0492106754675,30.040083172915,30.0368293873349,30.0342596239723,30.0322139628239,30.0301382838212,30.0270071886836,30.0222197671407,30.0161566548891,30.009407288974,30.0022054318593,29.9945682692225,29.9864469954859,29.9777702283624,29.9684570543572,29.9584076376379,29.9475181296561,29.935663953809,29.9227031776744,29.9084722143447,29.8927844253126,29.8754249463806,29.8561471361178,29.8346674400359,29.8110672174283,29.7739233303303,29.7739233303303
29,25,74.422488967583,64.9188816221689,34.5544819410493,30.2514880450232,30.0537425156298,30.0432642530877,30.0400359140481,30.0375675947324,30.0356781547558,30.0338309786721,30.0310204627132,30.0266320215536,30.0210204730746,30.0147837267664,30.0081694892856,30.0012061827603,29.9938575889714,29.9860667734402,29.9777698906179,29.9688861149687,29.9593336746127,29.9490134527822,29.9378126367399,29.9256010600695,29.9122304407741,29.8975301131697,29.881304002884,29.8633260461817,29.8437638596361,29.8118889668305,29.8118889668305
30,25,74.1683642899632,67.1482286621953,35.4361338813542,30.2991853423071,30.0580458274699,30.0459126613267,30.0426546106098,30.0402642421233,30.0384969434905,30.0368308394277,30.0342776612845,30.0302111494793,30.0249606981544,30.0191316415099,30.0129844619898,30.0065567584139,29.9998223251783,29.9927357245896,29.9852466369267,29.9772894117044,29.9687997904714,29.9596989087293,29.9498971192903,29.9392907842102,29.927762241963,29.9151758532215,29.9013757066392,29.8861812063143,29.8698279293702,29.842160799494,29.842160799494
31,25,73.8788551524751,69.2862215297314,36.4328687764109,30.3554625015663,30.0622929158745,30.0480999279872,30.0447963345292,30.0424632492193,30.0407914664874,30.0392687433661,30.0369225174711,30.0331168356109,30.0281554231062,30.0226506229928,30.0168746387064,30.0108726184715,30.0046263216901,29.9980994430825,29.9912524232513,29.9840316859414,29.9763868710944,29.9682552405233,29.9595655536268,29.9502352827537,29.9401710919839,29.9292652143885,29.9173936975665,29.9044116762282,29.8906082488936,29.8663048571849,29.8663048571849
32,25,73.5601202762462,71.3094457949716,37.5608680664386,30.4219730453206,30.0666541686311,30.0499049739115,30.0465516771147,30.0442604423239,30.0426630123199,30.0412535454867,30.0390739647734,30.0354799435285,30.0307505732076,30.0255035278156,30.0200223382035,30.014358430597,30.0084998905791,30.002417667143,29.9960807632632,29.9894452098191,29.9824716726355,29.9751102511768,29.9673043543819,29.9589881964696,29.9500878234606,29.9405176534984,29.9301790527539,29.9189552603458,29.9071774267362,29.8855658350495,29.8855658350495
33,25,73.217542777843,73.1721657409817,38.8597290209879,30.5011302015587,30.071303332143,30.0514298475518,30.0479949073517,30.04573363827,30.0441933243341,30.0428730762388,30.0408279326259,30.0374068777423,30.0328636847981,30.0278214293892,30.0225742474157,30.0171787070459,30.0116281157104,30.0058989165918,29.999967155025,29.9937964329788,29.987356160362,29.9806066584853,29.9735030141796,29.9659926581818,29.9580171455863,29.9495199054911,29.9403883974846,29.9305615835422,29.9203926303279,29.9009422355389,29.9009422355389
