Time (s),N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,N21,N22,N23,N24,N25,N26,N27,N28,N29,N30,N31,N32,N33,N34,N35,N36,N37,N38,N39,N40,N41,N42
41,0,0,2.61387372857413e-08,3.16278802725556e-06,0.00011744705266159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,2.94253287291824e-08,3.37295329033704e-06,0.000162707392453498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,3.3737512228349e-08,3.64477322689627e-06,0.000224215465710831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,4.15953628207788e-08,4.14407456128529e-06,0.000308621303743428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,5.60503881086305e-08,5.00972351102913e-06,0.000427241720157956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,8.27011163995195e-08,6.44529115334525e-06,0.000601076953939739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0248909105014e-08,0,0,1.65563078913245e-07,1.11785343870352e-07,0,0,0,0,0,0,0,0
47,0,0,1.32008739939238e-07,8.76473680067047e-06,0.000863026461953353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16759218019114e-07,2.90101959121714e-07,0,0,0,0
48,0,0,2.06930444668352e-07,1.16259728496493e-05,0.00117237734670461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.70769651647507e-08,0,0
49,0,2.67373109208435e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,1.61893554118109e-09,0,0,0,2.79510427844132e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,1.55819024350023e-10,0,0,0,4.02981295940519e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,0,3.52896822874982e-10,1.80391070969677e-08,1.7800692554415e-06,5.75265876435749e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,0,1.22080123787782e-12,2.64300624719382e-08,2.57864983588263e-06,8.10343351049791e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0,9.29842980390561e-10,0,2.96227337104327e-08,2.86996970133568e-06,0.000112624750368662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0,3.7705955024947e-09,0,3.10393797331443e-08,3.0197021265721e-06,0.000155601343045486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0,1.06932228627343e-08,0,3.19276624027864e-08,3.26043331433379e-06,0.000213470404311189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0,2.48667872959629e-08,0,3.25801224887456e-08,3.71033542567734e-06,0.000292401509641604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0,4.13797350828915e-08,0,3.61869165743656e-08,4.48383778550721e-06,0.000402906969172445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0,5.51977660245839e-08,0,4.63370529724116e-08,5.74176197165599e-06,0.000563079673713829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,7.30430723683284e-08,0,6.46569966455957e-08,7.75919689222082e-06,0.000804425648927132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0,9.9376613604818e-08,0,9.10415289823163e-08,1.04292814592233e-05,0.00111432724773708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.40810635268696e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0,4.98707508622687e-09,2.91084262249441e-08,2.53226362101344e-09,0,0,0.000173037323822678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,0,0,7.76582465000786e-10,0,0,0,2.60007281405183e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,0,0,7.91658960608288e-11,0,0,0,3.73195531987447e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0,1.9225288028224e-10,0,1.61617497163036e-10,1.37127327271003e-08,1.51261365632926e-06,5.33528622416179e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,0,3.93574395296525e-10,0,3.28119642567515e-10,2.20131045614025e-08,2.44333217591652e-06,7.51353779149255e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,0,5.28295407420387e-10,0,4.47438752715357e-10,2.47258489238789e-08,2.73039541121012e-06,0.000104587317010574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,0,6.54175935643764e-10,0,5.55634316334874e-10,2.58207331071958e-08,2.83697546321626e-06,0.000144603731856541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,0,7.96650745371608e-10,0,6.69725830348966e-10,2.76227595241707e-08,3.01063176533223e-06,0.000198436881413522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0,9.25639453974725e-10,0,7.7444339829924e-10,3.14363300946141e-08,3.38555503609506e-06,0.00027161599834935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
