Time (s),N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,N21,N22,N23,N24,N25,N26,N27,N28,N29,N30,N31,N32,N33,N34,N35,N36,N37,N38,N39,N40,N41,N42
20,0.85,0.866098144058162,0.9673747850419,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999996277661,1,1,0.999999981155044,1,1,1,0.999999969600947,0.999999970621045,0.999999970621045
21,0.85,0.864651241090955,0.958999345730155,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999913442907,0.999999851175602,0.999999954577672,1,1
22,0.85,0.863489214612066,0.949304336445346,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999988321385,0.999999988321385
23,0.85,0.862575904989825,0.940214842439815,0.998537304433402,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,0.85,0.861825592547078,0.929621720917044,0.997921451858428,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,0.85,0.861226372756818,0.920318334597274,0.99705171682828,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,0.85,0.860749250901283,0.912631656170615,0.995806919154282,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,0.85,0.860364038337116,0.90614193201461,0.994144626952796,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,0.85,0.860048231881523,0.900563814169441,0.991981489498124,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29,0.85,0.859788036312716,0.895753569674754,0.989202137191268,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,0.85,0.859576957367932,0.891615377324794,0.9856716906215,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31,0.85,0.85941492907169,0.88806296248101,0.981248579022924,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32,0.85,0.859307512095448,0.885006969759663,0.975799164286876,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33,0.85,0.859267743287237,0.882353253248703,0.969212123744596,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34,0.85,0.859322350909758,0.880011221727236,0.961400862410162,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35,0.85,0.859521101104354,0.877917013064914,0.952367438400177,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999995281633,1,1,1,1,0.999999996312107,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36,0.85,0.859916077699066,0.876071393557217,0.943872740891467,0.998595381070886,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37,0.85,0.86051464824406,0.874471877931849,0.933991306197502,0.998008717212031,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
38,0.85,0.86118199945225,0.873166895842613,0.925237087087055,0.997159860500333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39,0.85,0.861807566941917,0.872145452064694,0.917765311539586,0.995961194619969,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999560504,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40,0.85,0.862359030805064,0.871364486581185,0.911265772608862,0.994367576106692,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,0.85,0.862834363136104,0.870777240913914,0.905558233079415,0.992294459562893,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999997322159,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42,0.85,0.863237502184803,0.870342520585781,0.900565367642594,0.989627731918851,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
43,0.85,0.863573273583298,0.870025941788956,0.896234907786201,0.986233362893219,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
44,0.85,0.863846827375192,0.869799357721346,0.892511867712399,0.981967035168758,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45,0.85,0.864063530921391,0.86963982395269,0.889334476973394,0.976684640167259,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999986350975,1,1
46,0.85,0.864228930748129,0.869528749394736,0.886637605186467,0.970254752482729,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999962886166,1,1,0.999999817544015,0.999999871312391,1,1,1,1,1,1,1,1
47,0.85,0.864348579862704,0.869451107632886,0.884356774324785,0.962570879875888,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999766309931,0.99999969295776,1,1,1,1
48,0.85,0.864427823256876,0.869394894847185,0.882431722726763,0.953651458137399,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999945962831,1,1
49,0.85,0.86447142386825,0.86935154962857,0.880823885187959,0.94528051370053,0.998629499584766,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999988224,1,1,1,1
50,0.85,0.864484359238745,0.869314604775762,0.87946039195298,0.935662621368066,0.998075414043163,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999986808,1,1,1,1
51,0.85,0.864470027290478,0.869281767990697,0.878316904673508,0.927289055841378,0.997247799455515,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999986725,1,1,1,1
52,0.85,0.864430491822324,0.869252418690332,0.877349782520603,0.920116423031557,0.996094553741257,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999987098,1,1,1,1
53,0.85,0.864366449760807,0.869229155468427,0.876513702973086,0.913826356318955,0.994575039232445,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999988912,1,1,1,1
54,0.85,0.864276585544268,0.869220130492101,0.875770116587809,0.908261302926582,0.9926101166676,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999988339,1,1,1,1
55,0.85,0.864155851877751,0.869242261501266,0.875104510902692,0.903348767992186,0.99009184421979,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999986886,1,1,1,1
