Time (s),N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,N21,N22
35,0.05,0.0165113481013211,0.00026582259923524,2.51133546633814e-06,3.20190700874088e-08,1.32131669398309e-08,1.25700353775097e-08,1.24445683823078e-08,1.24226111166411e-08,1.24163560664053e-08,1.24165428025376e-08,1.24165440144105e-08,1.24166670056494e-08,1.24167928055465e-08,1.24169198667741e-08,1.24170530741727e-08,1.24171916175272e-08,1.24173347860495e-08,1.24174819694236e-08,1.24176326025576e-08,1.24177881301547e-08,2.15931072072281e-07
36,0.05,0.0176049130355784,0.000290593959120077,2.816999754013e-06,3.45049101514914e-08,1.32872846909432e-08,1.25842538817405e-08,1.24477902903555e-08,1.24233167778124e-08,1.24163576222969e-08,1.24165440970902e-08,1.24165455218607e-08,1.24166674631444e-08,1.24167929911052e-08,1.24169199740674e-08,1.24170531438609e-08,1.24171916592511e-08,1.24173348014682e-08,1.24174819593207e-08,1.24176325669719e-08,1.24177881042566e-08,2.15931072046102e-07
37,0.05,0.0187361565386174,0.000316919810526472,3.15425202860625e-06,3.72886346850618e-08,1.33678150392399e-08,1.25996243731148e-08,1.24512275228681e-08,1.24242973347139e-08,1.24163582849516e-08,1.24165451423718e-08,1.24165470947365e-08,1.24166679253241e-08,1.2416793158189e-08,1.24169200602946e-08,1.24170531946648e-08,1.24171916850821e-08,1.24173348048741e-08,1.24174819405434e-08,1.24176325261215e-08,1.24177880765839e-08,2.15931072018945e-07
38,0.05,0.0199056417859583,0.000344842874161355,3.52485809476125e-06,4.04005001964258e-08,1.34553895380855e-08,1.26162471336107e-08,1.2454910123614e-08,1.24250565253553e-08,1.24174892347365e-08,1.24165559823912e-08,1.24165472916827e-08,1.24166683696178e-08,1.24167933086621e-08,1.24169201250602e-08,1.24170532262242e-08,1.24171916948063e-08,1.24173347959651e-08,1.2417481912991e-08,1.24176324799141e-08,1.24177880470958e-08,2.15931071992119e-07
39,0.05,0.0211141867700902,0.000374394144289076,3.93085617004843e-06,4.38780709253915e-08,1.35508892662227e-08,1.26342545946936e-08,1.2458909325159e-08,1.24260601790984e-08,1.24181715944136e-08,1.24165636110275e-08,1.24165480059718e-08,1.24166688511652e-08,1.24167934614383e-08,1.24169201859942e-08,1.24170532532373e-08,1.24171916996107e-08,1.24173347837816e-08,1.2417481883086e-08,1.24176324323366e-08,1.24177880171539e-08,2.1593107195981e-07
40,0.05,0.0223616153649335,0.000405585386463149,4.37338163107871e-06,4.77569089100525e-08,1.36552185415918e-08,1.26537913993018e-08,1.24632915949154e-08,1.24271274065219e-08,1.24184688275103e-08,1.24165676217062e-08,1.24165492981606e-08,1.24166693684823e-08,1.24167936101849e-08,1.24169202371381e-08,1.24170532705782e-08,1.24171916974881e-08,1.24173347651012e-08,1.24174818485497e-08,1.24176323819771e-08,1.24177879862652e-08,2.15931071930135e-07
41,0.05,0.0236485215308294,0.000438441283619422,4.85389014920852e-06,5.20796594490917e-08,1.3769411425965e-08,1.26750185089046e-08,1.24680924367587e-08,1.24281928384867e-08,1.24186987782778e-08,1.24165705378146e-08,1.24165507384422e-08,1.2416669928292e-08,1.24167937657664e-08,1.24169202869651e-08,1.24170532851612e-08,1.24171916928506e-08,1.24173347444914e-08,1.24174818124967e-08,1.24176323307166e-08,1.24177879550814e-08,2.15931071901372e-07
42,0.05,0.0249748325154224,0.000472989902580617,5.37324966997664e-06,5.68870795793886e-08,1.38944291265168e-08,1.26980951882492e-08,1.24733373747239e-08,1.24294355970819e-08,1.24189407010684e-08,1.2416573630374e-08,1.24165522493409e-08,1.24166705329845e-08,1.24167939303164e-08,1.24169203364576e-08,1.24170532977579e-08,1.24171916858533e-08,1.24173347220597e-08,1.24174817752673e-08,1.24176322787471e-08,1.24177879236469e-08,2.15931071869678e-07
43,0.05,0.02633763036033,0.00050933968158964,5.93320071624365e-06,6.22254258203034e-08,1.40311208277203e-08,1.27231620937574e-08,1.24790535810094e-08,1.24309081293745e-08,1.2419204713179e-08,1.24165766379796e-08,1.24165538013015e-08,1.24166711857759e-08,1.24167941049316e-08,1.24169203857336e-08,1.24170533083424e-08,1.24171916769692e-08,1.241733469805e-08,1.2417481736841e-08,1.24176322260484e-08,1.24177878919623e-08,2.15931071837742e-07
44,0.05,0.0277279423993367,0.000547776687797187,6.53733882624281e-06,6.81548822314818e-08,1.41803587400627e-08,1.27503560262173e-08,1.24852665890083e-08,1.24322727815946e-08,1.24194942963486e-08,1.24165794811929e-08,1.24165553906409e-08,1.2416671898039e-08,1.24167942976824e-08,1.24169204411129e-08,1.24170533219837e-08,1.24171916701896e-08,1.24173346756196e-08,1.24174816994994e-08,1.24176321739927e-08,1.24177878604879e-08,2.15931071806485e-07
