Time (s),N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,N21,N22
27,0.05,0.00874395535061845,0.000115639877172284,9.39353607358388e-07,1.89476041471924e-08,1.26177572564196e-08,1.24510197021096e-08,1.24227142252734e-08,1.24175482206486e-08,1.24166050420783e-08,1.24164956195239e-08,1.24165621362394e-08,1.2416669154187e-08,1.24167897008383e-08,1.24169180507382e-08,1.24170525732362e-08,1.24171924146426e-08,1.24173369124055e-08,1.24174854694102e-08,1.24176375510698e-08,1.24177947088035e-08,4.75815002796052e-07
28,0.05,0.00942951725282356,0.000127585159964627,1.05866629975045e-06,1.98205611244403e-08,1.2639764561379e-08,1.24547459463511e-08,1.2423634245576e-08,1.24177083529777e-08,1.24166384287557e-08,1.24165023169696e-08,1.24165633391268e-08,1.24166692660784e-08,1.24167896049132e-08,1.24169179215241e-08,1.24170524452312e-08,1.24171922952055e-08,1.241733680165e-08,1.24174853696359e-08,1.24176374610357e-08,1.24177946644774e-08,4.75815002752215e-07
29,0.05,0.0101903861438081,0.000140891588366137,1.19223892023076e-06,2.07999897100781e-08,1.26633273894488e-08,1.24587926355535e-08,1.24245817744594e-08,1.24178822315116e-08,1.24166749739904e-08,1.24165093954522e-08,1.24165643397618e-08,1.24166690821825e-08,1.24167892243869e-08,1.24169175410925e-08,1.24170521033508e-08,1.24171920006641e-08,1.24173365550107e-08,1.24174851718456e-08,1.24176373122357e-08,1.24177946004879e-08,4.75815002688579e-07
30,0.05,0.0111008121501392,0.00015641055720731,1.34074203358978e-06,2.18829911411551e-08,1.26874356328411e-08,1.24630194494222e-08,1.24255571778277e-08,1.24180682222717e-08,1.24167135225005e-08,1.24165157419485e-08,1.24165640888907e-08,1.24166676510695e-08,1.24167877165716e-08,1.2416916177933e-08,1.24170509287835e-08,1.24171910239934e-08,1.24173357774353e-08,1.2417484594354e-08,1.24176369348202e-08,1.24177944599728e-08,4.75815002548357e-07
31,0.05,0.0122068825064771,0.000175765440703302,1.51595544777308e-06,2.31242540726585e-08,1.27119837243262e-08,1.24673005599762e-08,1.24265567799348e-08,1.24182667083987e-08,1.24167570579388e-08,1.24165245608712e-08,1.24165655478031e-08,1.24166676289776e-08,1.2416787425897e-08,1.2416915864336e-08,1.24170506414684e-08,1.24171907733526e-08,1.24173355648668e-08,1.24174844208989e-08,1.24176368004949e-08,1.2417794400784e-08,4.75815002487863e-07
32,0.05,0.0132565710911348,0.000196138101051999,1.71971607767139e-06,2.45871714137145e-08,1.27412703923548e-08,1.24722063484625e-08,1.24276686627487e-08,1.24184870889116e-08,1.24168081138983e-08,1.24165374249122e-08,1.2416570063716e-08,1.24166702175148e-08,1.2416789413489e-08,1.24169175206269e-08,1.24170520206231e-08,1.24171918867717e-08,1.24173364140363e-08,1.24174850068643e-08,1.24176371232556e-08,1.24177944945941e-08,4.75815002582952e-07
33,0.05,0.0142568115916735,0.000216561386728096,1.94101019804075e-06,2.6221786670523e-08,1.27739525715871e-08,1.24776499848134e-08,1.24288971106902e-08,1.24187287295272e-08,1.24168628593799e-08,1.2416549938193e-08,1.24165734417718e-08,1.24166716156985e-08,1.24167903151289e-08,1.24169182283379e-08,1.24170525954261e-08,1.24171923415285e-08,1.24173367504814e-08,1.24174852261144e-08,1.24176372253694e-08,1.24177945145707e-08,4.75815002602568e-07
34,0.05,0.0152723668070512,0.000237990542936679,2.18452375403331e-06,2.80525421018002e-08,1.28096324129214e-08,1.24835479621153e-08,1.24302332776327e-08,1.24189918586921e-08,1.24169221791932e-08,1.2416562964042e-08,1.24165764444034e-08,1.24166724970629e-08,1.24167907226379e-08,1.24169184998602e-08,1.24170527994309e-08,1.24171924924698e-08,1.24173368503901e-08,1.24174852761581e-08,1.24176372256664e-08,1.24177945004707e-08,4.75815002587923e-07
35,0.05,0.0163207497525705,0.000260779037684725,2.45401212083809e-06,3.01092519766594e-08,1.28486073861641e-08,1.24899273078056e-08,1.2431684458932e-08,1.24192787046032e-08,1.2416986953175e-08,1.24165771043342e-08,1.24165795633517e-08,1.24166732890513e-08,1.24167910103907e-08,1.24169186591117e-08,1.24170529066854e-08,1.24171925639172e-08,1.24173368883457e-08,1.24174852818578e-08,1.24176371992825e-08,1.24177944774376e-08,4.75815002564577e-07
36,0.05,0.0174062172082024,0.000285041835542778,2.75198309479561e-06,3.24190211490682e-08,1.28912010832011e-08,1.24968241143028e-08,1.24332593521426e-08,1.24195917630961e-08,1.24170577454874e-08,1.24165925821852e-08,1.24165829276612e-08,1.24166740902078e-08,1.24167912615879e-08,1.24169187773989e-08,1.24170529773776e-08,1.24171926050684e-08,1.24173369027127e-08,1.2417485270622e-08,1.24176371627039e-08,1.24177944509878e-08,4.75815002537946e-07
37,0.05,0.0185303657997487,0.000310841505841531,3.08058478703844e-06,3.5009918923341e-08,1.29377782075459e-08,1.25042805108556e-08,1.24349675521914e-08,1.24199338337555e-08,1.24171350836324e-08,1.2416609547097e-08,1.24165865902813e-08,1.24166749287863e-08,1.24167914968778e-08,1.2416918871683e-08,1.24170530257315e-08,1.24171926269218e-08,1.24173369023408e-08,1.24174852490436e-08,1.24176371198226e-08,1.24177944224127e-08,4.75815002509156e-07
38,0.05,0.0196938887533651,0.000338224581028102,3.4418621647365e-06,3.7912783359222e-08,1.29887785459007e-08,1.25123476549319e-08,1.24368200615221e-08,1.24203079857238e-08,1.24172195324646e-08,1.24166281516957e-08,1.2416590599532e-08,1.24166758271611e-08,1.24167917314016e-08,1.24169189540562e-08,1.24170530619349e-08,1.24171926370826e-08,1.24173368955233e-08,1.24174852219675e-08,1.24176370734446e-08,1.24177943926291e-08,4.75815002479652e-07
39,0.05,0.0208969621852901,0.000367213661273548,3.83747553666021e-06,4.11606428211956e-08,1.30447296328824e-08,1.25210890484095e-08,1.24388302606264e-08,1.24207174843858e-08,1.24173117095836e-08,1.24166485530326e-08,1.24165949968256e-08,1.24166767992576e-08,1.24167919723014e-08,1.24169190296283e-08,1.24170530897546e-08,1.24171926404581e-08,1.24173368805764e-08,1.24174851904829e-08,1.24176370245306e-08,1.2417794362003e-08,4.75815002448494e-07
40,0.05,0.0221399607885885,0.000397827706249765,4.268738830739e-06,4.47883045540915e-08,1.31062143750515e-08,1.25305762509736e-08,1.24410136714698e-08,1.24211655675263e-08,1.24174122835948e-08,1.24166709187017e-08,1.2416599822015e-08,1.2416677855212e-08,1.24167922228573e-08,1.24169191000298e-08,1.24170531102347e-08,1.24171926381864e-08,1.24173368620063e-08,1.24174851550431e-08,1.24176369733205e-08,1.24177943306219e-08,4.75815002416534e-07
41,0.05,0.0234232618987778,0.000430087704785777,4.73684550093271e-06,4.88335663754479e-08,1.31738604028356e-08,1.25408863938959e-08,1.24433875961374e-08,1.24216553315148e-08,1.241752197389e-08,1.24166954365017e-08,1.24166051228918e-08,1.24166790099041e-08,1.24167924900771e-08,1.24169191699611e-08,1.24170531273571e-08,1.24171926320966e-08,1.24173368401218e-08,1.24174851177832e-08,1.24176369209159e-08,1.24177942988181e-08,4.75815002385597e-07
42,0.05,0.0247466293996359,0.000464019497894478,5.24287954200342e-06,5.33367230445244e-08,1.32483010938995e-08,1.2552097014501e-08,1.24459701482945e-08,1.24221899838814e-08,1.24176415371252e-08,1.24167223064883e-08,1.24166109489222e-08,1.24166802774123e-08,1.24167927797189e-08,1.24169192429659e-08,1.24170531436856e-08,1.2417192624736e-08,1.24173368161691e-08,1.24174850795693e-08,1.24176368679838e-08,1.24177942668325e-08,4.7581500235364e-07
43,0.05,0.0261080786741317,0.000499703623004888,5.78824382630487e-06,5.83410266753066e-08,1.33301302969671e-08,1.25642786293078e-08,1.24487775205839e-08,1.24227744952897e-08,1.24177717776613e-08,1.24167517337095e-08,1.24166173476924e-08,1.24166816678385e-08,1.24167930934092e-08,1.24169193188773e-08,1.24170531586473e-08,1.24171926158775e-08,1.24173367917512e-08,1.24174850401043e-08,1.24176368143044e-08,1.24177942346006e-08,4.75815002320919e-07
44,0.05,0.0274997451144245,0.000537397275684515,6.37618236328113e-06,6.39018005982459e-08,1.34199580920406e-08,1.25774951486597e-08,1.24518179360575e-08,1.24234211209861e-08,1.24179136456374e-08,1.24167839298772e-08,1.24166243757633e-08,1.24166831973328e-08,1.24167934375902e-08,1.24169194015426e-08,1.24170531752492e-08,1.24171926073714e-08,1.24173367672225e-08,1.24174850008161e-08,1.24176367606878e-08,1.24177942023778e-08,4.7581500228854e-07
45,0.05,0.0289031773862806,0.000577650565190634,7.0124068551069e-06,7.00906331207526e-08,1.35184744981501e-08,1.25918097835276e-08,1.24550832316937e-08,1.242415848387e-08,1.24180684346203e-08,1.24168191014676e-08,1.24166321016586e-08,1.24166848913061e-08,1.24167938263271e-08,1.24169195013088e-08,1.24170532018191e-08,1.24171926061e-08,1.24173367481747e-08,1.24174849653934e-08,1.24176367093811e-08,1.24177941709192e-08,4.75815002256848e-07
46,0.05,0.0302827036835945,0.000621555389494786,7.70785194661367e-06,7.70139095774841e-08,1.36265808632702e-08,1.2607291381614e-08,1.24585600869196e-08,1.24250214846778e-08,1.24182376833625e-08,1.24168574557179e-08,1.24166405992181e-08,1.24166867779501e-08,1.24167942755572e-08,1.24169196300066e-08,1.24170532479341e-08,1.24171926198217e-08,1.24173367406124e-08,1.24174849381483e-08,1.24176366629672e-08,1.24177941410895e-08,4.75815002226658e-07
47,0.05,0.0315825851919655,0.000670534565292862,8.47750692183046e-06,8.48130791233093e-08,1.37454570514776e-08,1.26240223018206e-08,1.24622858827374e-08,1.24259980404931e-08,1.2418422262605e-08,1.24168992779895e-08,1.24166499392809e-08,1.2416688877899e-08,1.24167947937743e-08,1.2416919792836e-08,1.24170533175268e-08,1.24171926516425e-08,1.24173367469464e-08,1.24174849207994e-08,1.2417636622482e-08,1.24177941132345e-08,4.75815002198748e-07
48,0.05,0.0327506385784298,0.000725749411279285,9.33571744024255e-06,9.36420576506035e-08,1.38764408414926e-08,1.26420948887802e-08,1.24663428986787e-08,1.24270351174955e-08,1.24186222763511e-08,1.24169449183113e-08,1.24166601698762e-08,1.24166911853259e-08,1.24167953652073e-08,1.24169199737438e-08,1.24170533964883e-08,1.24171926899021e-08,1.24173367580846e-08,1.24174849068323e-08,1.24176365840032e-08,1.2417794086042e-08,4.75815002171398e-07
49,0.05,0.0337668762018856,0.000787490947594844,1.02906015885753e-05,1.03633017196993e-07,1.40207963586589e-08,1.26615986536446e-08,1.2470772171947e-08,1.24281210655447e-08,1.24188384967205e-08,1.2416994674399e-08,1.24166713239081e-08,1.24166936776134e-08,1.24167959581636e-08,1.24169201426347e-08,1.24170534587672e-08,1.24171927131544e-08,1.24173367572836e-08,1.24174848843e-08,1.24176365403354e-08,1.24177940571008e-08,4.75815002142192e-07
50,0.05,0.0346462124103703,0.000855466536928413,1.13455894250033e-05,1.14899511707877e-07,1.4179702804591e-08,1.26826142106693e-08,1.2475584920838e-08,1.2429272860256e-08,1.24190723320243e-08,1.2417048839828e-08,1.24166834601712e-08,1.24166963527171e-08,1.24167965582245e-08,1.24169202841522e-08,1.24170534907313e-08,1.24171927101621e-08,1.24173367353028e-08,1.24174848471026e-08,1.24176364878212e-08,1.24177940251564e-08,4.75815002110876e-07
51,0.05,0.035412751022007,0.000929286168801115,1.25027982069125e-05,1.27553520775233e-07,1.43544320514467e-08,1.27052278017044e-08,1.24807932401498e-08,1.24305078252514e-08,1.24193254004727e-08,1.24171077500559e-08,1.24166966687091e-08,1.24166992339279e-08,1.24167971724895e-08,1.24169204014177e-08,1.24170534943378e-08,1.24171926824755e-08,1.24173366927267e-08,1.24174847962276e-08,1.24176364271348e-08,1.2417793990405e-08,4.7581500207609e-07
52,0.05,0.0360931496732508,0.00100857033536044,1.3764291472331e-05,1.41714746676326e-07,1.45464601997097e-08,1.27295418657832e-08,1.24864171277571e-08,1.24318388561705e-08,1.24195994859024e-08,1.24171717749777e-08,1.24167110483631e-08,1.24167023481933e-08,1.2416797810183e-08,1.24169204991537e-08,1.24170534728683e-08,1.24171926324788e-08,1.24173366326055e-08,1.24174847325348e-08,1.24176363586969e-08,1.24177939530692e-08,4.75815002032076e-07
53,0.05,0.0367067181814108,0.00109320501502891,1.51340050609916e-05,1.57518688457606e-07,1.47575255470633e-08,1.27556772590057e-08,1.24924830948289e-08,1.24332761356061e-08,1.24198965921306e-08,1.2417241327362e-08,1.24167267149747e-08,1.24167057330774e-08,1.24167984890509e-08,1.24169205892086e-08,1.24170534355879e-08,1.24171925675082e-08,1.24173365610026e-08,1.24174846600088e-08,1.24176362848614e-08,1.2417793913938e-08,4.75815001994236e-07
54,0.05,0.0372679596917677,0.00118314865059648,1.6616464591328e-05,1.75109652177314e-07,1.49896731546639e-08,1.2783782695256e-08,1.24990242490769e-08,1.24348290282292e-08,1.2420219018857e-08,1.24173168540119e-08,1.24167437886477e-08,1.24167094244838e-08,1.24167992238083e-08,1.2416920680513e-08,1.24170533891915e-08,1.2417192492925e-08,1.24173364815695e-08,1.24174845814606e-08,1.24176362075248e-08,1.24177938736259e-08,4.7581500195877e-07
55,0.05,0.0377873975327985,0.00127860865192517,1.82184940802755e-05,1.94641181153581e-07,1.52451747097655e-08,1.28140235974111e-08,1.25060779833334e-08,1.24365069725635e-08,1.24205693294995e-08,1.24173988383816e-08,1.241676239913e-08,1.24167134612663e-08,1.241680003055e-08,1.24169207828799e-08,1.24170533410652e-08,1.24171924145695e-08,1.24173363988663e-08,1.24174845005434e-08,1.24176361286001e-08,1.24177938327709e-08,4.75815001917339e-07
56,0.05,0.0382713583048219,0.00138019241768636,1.99511778089596e-05,2.1627217140626e-07,1.5526320246875e-08,1.28465551863317e-08,1.25136822487246e-08,1.24383193894266e-08,1.24209502401034e-08,1.24174877960367e-08,1.24167826880695e-08,1.24167178878013e-08,1.24168009289057e-08,1.24169209088766e-08,1.24170533008532e-08,1.24171923401322e-08,1.24173363187206e-08,1.24174844213155e-08,1.24176360506666e-08,1.24177937922274e-08,4.75815001876201e-07
57,0.05,0.0387216222247973,0.00148999403691822,2.18393091315688e-05,2.40139680744172e-07,1.58338452939864e-08,1.28813399958628e-08,1.25218525295232e-08,1.24402731974921e-08,1.2421364167148e-08,1.24175841892041e-08,1.24168047547202e-08,1.24167227067349e-08,1.24168019002999e-08,1.24169210375574e-08,1.2417053249741e-08,1.24171922539803e-08,1.24173362288935e-08,1.24174843350664e-08,1.24176359684653e-08,1.24177937502336e-08,4.75815001834252e-07
58,0.05,0.0391535246468884,0.00161138232728753,2.3902304692722e-05,2.66101140536531e-07,1.61624413698607e-08,1.29176677647409e-08,1.25305187141464e-08,1.2442365455476e-08,1.24218119993303e-08,1.2417687764039e-08,1.24168280142696e-08,1.24167272803398e-08,1.24168023518275e-08,1.24169206478232e-08,1.24170527450093e-08,1.24171917933466e-08,1.2417335846928e-08,1.24174840397589e-08,1.24176357604001e-08,1.2417793666084e-08,4.75815001749771e-07
