Time (s),N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,N21,N22
21,0.05,0.0499936145477013,0.0299617126369417,0.0078765343242819,0.00166995156461578,0.000335657283692726,6.60603850716672e-05,1.30669688769769e-05,2.84015133979434e-06,8.96209701826641e-07,5.31579648764373e-07,4.63994665282833e-07,4.51602392021617e-07,4.49353156014358e-07,4.48947874243652e-07,4.48880124482216e-07,4.48856909399995e-07,4.48856269443199e-07,4.4885809520346e-07,4.48858621206337e-07,4.48858679356324e-07,4.48858679356331e-07
22,0.05,0.0505710781693313,0.031368679157143,0.00866140433548557,0.00185516871183097,0.000375724805745131,7.44244805692185e-05,1.47752777504034e-05,3.18285882085902e-06,9.63867845003476e-07,5.4474357275999e-07,4.66522027786065e-07,4.52081754042099e-07,4.49442919162095e-07,4.48964846400239e-07,4.48884773107454e-07,4.48856766606863e-07,4.48855603418712e-07,4.48857896888165e-07,4.48858605168251e-07,4.48858684602474e-07,4.48858684602481e-07
23,0.05,0.0511124545057757,0.0327165151611526,0.00950351286460287,0.0020567221375831,0.000419705753343274,8.3665957524364e-05,1.66743883197445e-05,3.56615906458161e-06,1.04000009966148e-06,5.5964643263484e-07,4.69400647602599e-07,4.52631030189021e-07,4.495465833706e-07,4.48983881612184e-07,4.4889022432862e-07,4.48856916665339e-07,4.48854960385753e-07,4.48857673058105e-07,4.48858577315607e-07,4.48858688881866e-07,4.48858688881873e-07
24,0.05,0.051622311889439,0.0340099013138569,0.0103982448745427,0.00227456862938307,0.000467743514542772,9.3836830265682e-05,1.8778603057571e-05,3.99358229432067e-06,1.12542710289147e-06,5.76471542092547e-07,4.72670286450609e-07,4.53258632637795e-07,4.49665847961043e-07,4.4900563708986e-07,4.48896393899374e-07,4.48857414838434e-07,4.48854227385039e-07,4.48857417998832e-07,4.48858533327393e-07,4.4885869102267e-07,4.48858691022676e-07
25,0.05,0.0521098312311764,0.0352541350881876,0.0113406107489169,0.00250856874370217,0.000519969204304221,0.000104988536976622,2.11025357732528e-05,4.46881077007207e-06,1.2210178002938e-06,5.95415308028886e-07,4.7637395055859e-07,4.53973790288575e-07,4.4980238172472e-07,4.49031331369895e-07,4.48902360814366e-07,4.48858336456196e-07,4.48853712628649e-07,4.48857164498037e-07,4.48858472859368e-07,4.48858689960225e-07,4.48858689960232e-07
26,0.05,0.0525925550142152,0.0364550365830299,0.0123247427497652,0.00275842848392714,0.000576494005713021,0.000117171036098629,2.36610359748046e-05,4.99568331502375e-06,1.32769420849381e-06,6.16688939152147e-07,4.80558393184483e-07,4.54786582638301e-07,4.49958355763817e-07,4.49061487451909e-07,4.48904710816233e-07,4.48861472923655e-07,4.48854787788382e-07,4.48857140680884e-07,4.48858409184547e-07,4.4885867985418e-07,4.48858679854187e-07
27,0.05,0.0531044982949766,0.0376191280459644,0.0133418997219729,0.00302344919406732,0.000637375271642806,0.000130428365927154,2.64686100365132e-05,5.57812050767254e-06,1.44642207973305e-06,6.40517396469514e-07,4.85274033002698e-07,4.55707962078871e-07,4.50136199827459e-07,4.49096082190605e-07,4.48905711327542e-07,4.48866564004764e-07,4.48856053022522e-07,4.48857240955617e-07,4.48858382093774e-07,4.48858670289353e-07,4.4885867028936e-07
28,0.05,0.0537310402778586,0.0387561318638627,0.0143734632410788,0.0033015922509217,0.000702488930616205,0.000144782382134223,2.95374829882276e-05,6.21992157826923e-06,1.57819627610741e-06,6.67140158783837e-07,4.90575627482482e-07,4.56749996536182e-07,4.50338620336355e-07,4.49134867818973e-07,4.48912509228068e-07,4.48868964492423e-07,4.48856266139077e-07,4.48857093506267e-07,4.4885832473209e-07,4.48858664257612e-07,4.48858664257619e-07
29,0.05,0.0547481422315568,0.0398805138936592,0.0153607376034378,0.00358551926809461,0.000771010907402564,0.000160168064131619,3.28698608254319e-05,6.92390570567315e-06,1.72396060596456e-06,6.96807405733984e-07,4.96523133061544e-07,4.57926281077096e-07,4.50568379676526e-07,4.49179439890959e-07,4.4892024763891e-07,4.48871600503655e-07,4.48856522675607e-07,4.48856880704334e-07,4.48858244761548e-07,4.48858654930799e-07,4.48858654930806e-07
30,0.05,0.0572619735310501,0.0410484956664325,0.0160761878461526,0.00384423466634542,0.000838902437767708,0.000176113692621857,3.64198403068069e-05,7.68783931044117e-06,1.88427145436196e-06,7.29776326643779e-07,5.03189272225922e-07,4.59254417980769e-07,4.50829531877645e-07,4.49230188712765e-07,4.48929702492806e-07,4.48874562065098e-07,4.48856501607926e-07,4.48856552087587e-07,4.48858137292679e-07,4.48858642562312e-07,4.48858642562319e-07
